Dataset,Accuracy,F1-Score,Sensitivity,Specificity
CPA1.xlsx,0.76,0.76,0.76489533,0.703703704
CPA2.xlsx,0.82,0.820216086,0.823671498,0.777777778
CPA3.xlsx,0.8,0.793650794,0.75,0.9
CPB1.xlsx,0.84,0.84,0.845410628,0.777777778
CPB2.xlsx,0.84,0.84,0.845410628,0.777777778
CPB3.xlsx,0.92,0.920128205,0.922705314,0.888888889
CPB4.xlsx,0.9,0.900120434,0.900966184,0.888888889
CPB5.xlsx,0.88,0.882296651,0.89,0.86
CPB6.xlsx,0.893333333,0.896051974,0.92,0.84
CPB7.xlsx,0.88,0.88,0.881410256,0.846153846
