Step,Accuracy,F1-Score,Sensitivity,Specificity
1,0.86,0.859310622,0.93,0.79
2,0.86,0.859649123,0.91,0.81
3,0.84,0.84,0.845410628,0.777777778
4,0.84,0.84025641,0.842190016,0.814814815
5,0.82,0.820216086,0.823671498,0.777777778
6,0.84,0.84,0.845410628,0.777777778
