Step,Accuracy,F1-Score,Sensitivity,Specificity
1,0.866666667,0.869393203,0.91,0.845
2,0.843333333,0.843899029,0.78,0.875
3,0.88,0.882296651,0.89,0.86
4,0.893333333,0.895061728,0.9,0.88
5,0.893333333,0.895643364,0.91,0.86
6,0.88,0.882296651,0.89,0.86
