Step,Accuracy,F1-Score,Sensitivity,Specificity
1,0.77,0.769423559,0.82,0.72
2,0.745,0.744942612,0.73,0.76
3,0.8,0.79742351,0.811594203,0.666666667
4,0.76,0.758846154,0.768115942,0.666666667
5,0.8,0.79742351,0.811594203,0.666666667
6,0.76,0.76,0.76489533,0.703703704
