Step,Accuracy,F1-Score,Sensitivity,Specificity
1,0.895,0.894554493,0.96,0.83
2,0.895,0.894406034,0.97,0.82
3,0.9,0.900120434,0.900966184,0.888888889
4,0.9,0.900120434,0.900966184,0.888888889
5,0.9,0.900120434,0.900966184,0.888888889
6,0.9,0.900120434,0.900966184,0.888888889
