Step,Accuracy,F1-Score,Sensitivity,Specificity
1,0.87,0.869791667,0.91,0.83
2,0.86,0.86,0.86,0.86
3,0.86,0.860168067,0.863929147,0.814814815
4,0.86,0.860168607,0.860708535,0.851851852
5,0.86,0.860168067,0.863929147,0.814814815
6,0.84,0.84,0.845410628,0.777777778
