Step,Accuracy,F1-Score,Sensitivity,Specificity
1,0.875,0.874620728,0.93,0.82
2,0.865,0.864945978,0.885,0.845
3,0.9,0.899879952,0.90224359,0.846153846
4,0.9,0.9,0.901442308,0.865384615
5,0.9,0.899879952,0.90224359,0.846153846
6,0.88,0.88,0.881410256,0.846153846
