Step,Accuracy,F1-Score,Sensitivity,Specificity
1,0.755,0.754699507,0.72,0.79
2,0.735,0.733500943,0.66,0.81
3,0.86,0.860168607,0.860708535,0.851851852
4,0.84,0.837898194,0.83252818,0.925925926
5,0.86,0.860168607,0.860708535,0.851851852
6,0.82,0.820216086,0.823671498,0.777777778
