Step,Accuracy,F1-Score,Sensitivity,Specificity
1,0.86,0.863031915,0.91,0.835
2,0.873333333,0.874959476,0.87,0.875
3,0.893333333,0.895643364,0.91,0.86
4,0.893333333,0.895643364,0.91,0.86
5,0.906666667,0.908885116,0.93,0.86
6,0.893333333,0.896051974,0.92,0.84
