Step,Accuracy,F1-Score,Sensitivity,Specificity
1,0.895,0.894681411,0.95,0.84
2,0.88,0.879807692,0.92,0.84
3,0.92,0.920128205,0.922705314,0.888888889
4,0.88,0.88,0.879227053,0.888888889
5,0.92,0.920128205,0.922705314,0.888888889
6,0.92,0.920128205,0.922705314,0.888888889
